cuda: True
Files already downloaded and verified
Files already downloaded and verified
2000
Epoch 166 Train Loss: 253.12531238794327
Epoch: 166 True Loss: 282.4317681193352
Epoch: 166 Val Acc: 0.418
Epoch 167 Train Loss: 257.1814087331295
Epoch: 167 True Loss: 291.80129566788673
Epoch: 167 Val Acc: 0.4185
Epoch 168 Train Loss: 256.6990378201008
Epoch: 168 True Loss: 287.9095205962658
Epoch: 168 Val Acc: 0.419
Epoch 169 Train Loss: 255.84760701656342
Epoch: 169 True Loss: 283.5462974011898
Epoch: 169 Val Acc: 0.4425
Epoch 170 Train Loss: 254.20841065049171
Epoch: 170 True Loss: 287.5750235617161
Epoch: 170 Val Acc: 0.4255
Epoch 171 Train Loss: 255.5692968070507
Epoch: 171 True Loss: 291.35692286491394
Epoch: 171 Val Acc: 0.42
Epoch 172 Train Loss: 255.54514837265015
Epoch: 172 True Loss: 284.7576094865799
Epoch: 172 Val Acc: 0.423
Epoch 173 Train Loss: 254.8394657075405
Epoch: 173 True Loss: 279.7994179427624
Epoch: 173 Val Acc: 0.447
Epoch 174 Train Loss: 253.19752207398415
Epoch: 174 True Loss: 302.12078496813774
Epoch: 174 Val Acc: 0.3875
Epoch 175 Train Loss: 257.4471666812897
Epoch: 175 True Loss: 281.2159349322319
Epoch: 175 Val Acc: 0.445
Epoch 176 Train Loss: 256.84626680612564
Epoch: 176 True Loss: 284.52201387286186
Epoch: 176 Val Acc: 0.4445
Epoch 177 Train Loss: 254.11599764227867
Epoch: 177 True Loss: 290.78156474232674
Epoch: 177 Val Acc: 0.4165
Epoch 178 Train Loss: 256.65935105085373
Epoch: 178 True Loss: 286.34161987900734
Epoch: 178 Val Acc: 0.424
Epoch 179 Train Loss: 255.83047685027122
Epoch: 179 True Loss: 280.9797296822071
Epoch: 179 Val Acc: 0.4555
Epoch 180 Train Loss: 257.7350974082947
Epoch: 180 True Loss: 283.7906032502651
Epoch: 180 Val Acc: 0.426
Epoch 181 Train Loss: 254.4686164855957
Epoch: 181 True Loss: 296.5280283689499
Epoch: 181 Val Acc: 0.4055
Epoch 182 Train Loss: 253.07331106066704
Epoch: 182 True Loss: 281.6827890574932
Epoch: 182 Val Acc: 0.4325
Epoch 183 Train Loss: 257.12415239214897
Epoch: 183 True Loss: 283.4899188876152
Epoch: 183 Val Acc: 0.43
Epoch 184 Train Loss: 255.59898900985718
Epoch: 184 True Loss: 293.37643653154373
Epoch: 184 Val Acc: 0.414
Epoch 185 Train Loss: 255.07641503214836
Epoch: 185 True Loss: 283.776831805706
Epoch: 185 Val Acc: 0.4385
Epoch 186 Train Loss: 256.40427058935165
Epoch: 186 True Loss: 285.7097358703613
Epoch: 186 Val Acc: 0.424
Epoch 187 Train Loss: 252.97485902905464
Epoch: 187 True Loss: 274.93802693486214
Epoch: 187 Val Acc: 0.4385
Epoch 188 Train Loss: 253.39110589027405
Epoch: 188 True Loss: 287.6124373078346
Epoch: 188 Val Acc: 0.4295
Epoch 189 Train Loss: 254.42522993683815
Epoch: 189 True Loss: 285.9805141687393
Epoch: 189 Val Acc: 0.432
Epoch 190 Train Loss: 253.95075610280037
Epoch: 190 True Loss: 292.00043246150017
Epoch: 190 Val Acc: 0.4245
Epoch 191 Train Loss: 255.59737661480904
Epoch: 191 True Loss: 281.62625086307526
Epoch: 191 Val Acc: 0.4405
Epoch 192 Train Loss: 252.58460810780525
Epoch: 192 True Loss: 281.31838938593864
Epoch: 192 Val Acc: 0.4325
Epoch 193 Train Loss: 251.84411799907684
Epoch: 193 True Loss: 283.01178723573685
Epoch: 193 Val Acc: 0.4325
Epoch 194 Train Loss: 253.277406334877
Epoch: 194 True Loss: 282.7709239125252
Epoch: 194 Val Acc: 0.443
Epoch 195 Train Loss: 253.4106489121914
Epoch: 195 True Loss: 281.2977813780308
Epoch: 195 Val Acc: 0.4435
Epoch 196 Train Loss: 252.19854974746704
Epoch: 196 True Loss: 280.8555313050747
Epoch: 196 Val Acc: 0.4385
Epoch 197 Train Loss: 253.56389486789703
Epoch: 197 True Loss: 286.85658702254295
Epoch: 197 Val Acc: 0.4185
Epoch 198 Train Loss: 256.557740598917
Epoch: 198 True Loss: 284.888208091259
Epoch: 198 Val Acc: 0.444
Epoch 199 Train Loss: 253.66245013475418
Epoch: 199 True Loss: 278.9091283082962
Epoch: 199 Val Acc: 0.436
Epoch 200 Train Loss: 255.35215628147125
Epoch: 200 True Loss: 286.0699943602085
Epoch: 200 Val Acc: 0.419
Epoch 201 Train Loss: 255.30400308966637
Epoch: 201 True Loss: 287.79599288105965
Epoch: 201 Val Acc: 0.4265
Epoch 202 Train Loss: 256.09039810299873
Epoch: 202 True Loss: 285.2667526304722
Epoch: 202 Val Acc: 0.4255
Epoch 203 Train Loss: 256.0600607097149
Epoch: 203 True Loss: 288.8327531814575
Epoch: 203 Val Acc: 0.4205
Epoch 204 Train Loss: 254.54267945885658
Epoch: 204 True Loss: 283.8699453175068
Epoch: 204 Val Acc: 0.4325
Epoch 205 Train Loss: 255.2394867837429
Epoch: 205 True Loss: 280.2387288212776
Epoch: 205 Val Acc: 0.4475
Epoch 206 Train Loss: 255.82505157589912
Epoch: 206 True Loss: 288.62826192379
Epoch: 206 Val Acc: 0.4145
Epoch 207 Train Loss: 252.3114548623562
Epoch: 207 True Loss: 282.3566351234913
Epoch: 207 Val Acc: 0.4285
Epoch 208 Train Loss: 252.39172023534775
Epoch: 208 True Loss: 287.2549018263817
Epoch: 208 Val Acc: 0.442
Epoch 209 Train Loss: 254.84154188632965
Epoch: 209 True Loss: 279.7331210076809
Epoch: 209 Val Acc: 0.456
Epoch 210 Train Loss: 252.25628274679184
Epoch: 210 True Loss: 284.5092690587044
Epoch: 210 Val Acc: 0.423
Epoch 211 Train Loss: 253.40777757763863
Epoch: 211 True Loss: 279.7754773199558
Epoch: 211 Val Acc: 0.4355
Epoch 212 Train Loss: 253.63305109739304
Epoch: 212 True Loss: 289.6658721268177
Epoch: 212 Val Acc: 0.4205
Epoch 213 Train Loss: 256.92695236206055
Epoch: 213 True Loss: 282.89680337905884
Epoch: 213 Val Acc: 0.4345
Epoch 214 Train Loss: 255.77789840102196
Epoch: 214 True Loss: 291.45120841264725
Epoch: 214 Val Acc: 0.4005
Epoch 215 Train Loss: 253.11063131690025
Epoch: 215 True Loss: 278.8256251513958
Epoch: 215 Val Acc: 0.4365
Epoch 216 Train Loss: 253.1011165380478
